Comment,Designator,Footprint,LCSC
C,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
C,C26,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C3011705
SWPA4030S1R0NT,L1,IND_SWPA4030S_SNL,C38117
C,"C28,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C440198
LM5160ADNTR,U1,DNT0012B,C473375
C,C27,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C57112
WireHole_1p5,D8,WireHole_1p2,
WireHole_1p5,D5,WireHole_1p2,
WireHole_1p5,D1,WireHole_1p2,
WireHole_1p5,D9,WireHole_1p2,
WireHole_1p5,D18,WireHole_1p2,
WireHole_1p5,D7,WireHole_1p2,
WireHole_1p5,D19,WireHole_1p2,
WireHole_1p5,D2,WireHole_1p2,
WireHole_1p5,D6,WireHole_1p2,
WireHole_1p5,D17,WireHole_1p2,
WireHole_1p5,D4,WireHole_1p2,
WireHole_1p5,D3,WireHole_1p2,
