Comment,Designator,Footprint,LCSC
1N5711UR,D4,D_MELF,C116117
R,R9,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702
C,"C18,C3",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1523
C,"C20,C6,C7",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525
C,C17,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1532
C,"C12,C14",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15725
C,"C15,C19",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C162422
INA193,U5,SOT-23-5,C19548
C,"C10,C11,C8,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C21120
R,"R12,R3,R8",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
R,R15,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25764
R,R5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25792
R,R13,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25890
R,R6,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C279702
MM5Zxx,D5,D_SOD-923,C2832580
R,"R1,R2,R4,R7",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C324792
SWPA8040S220MT,L1,IND_SWPA8040S_SNL,C340241
SWPA3015S4R7MT,L3,IND_SWPA3015S_SNL,C36403
HSMW-C191-U0000,LED1,LED_91-U0000,C375573
STM32G031G8Ux,U2,QFN-28_4x4mm_P0.5mm,C432211
R,R16,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C45312
SI7489DP-T1-E3,U1,POWERPAK_SO-8_SINGLE_VIS,C467910
LM5160ADNTR,"U3,U4",DNT0012B,C473375
C,"C13,C16",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C528974
R,"R10,R11,R14",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C52929
C,"C1,C2,C4,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C6117579
SWPA3015S4R7MT,L2,IND_SWPA3015S_SNL,C68342
C,C21,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C77020
WireHole_1p5,D27,WireHole_0p7,
WireHole_1p5,D30,WireHole_2p0,
WireHole_1p5,D29,WireHole_2p0,
WireHole_1p5,D28,WireHole_2p0,
WireHole_1p5,D20,WireHole_0p7,
WireHole_1p5,D2,WireHole_1p2,
WireHole_1p5,D7,WireHole_0p7,
WireHole_1p5,D6,WireHole_0p7,
WireHole_1p5,D1,WireHole_1p2,
WireHole_1p5,D26,WireHole_0p7,
WireHole_1p5,D14,WireHole_0p7,
WireHole_1p5,D12,WireHole_0p7,
WireHole_1p5,D22,WireHole_0p7,
WireHole_1p5,D24,WireHole_0p7,
WireHole_1p5,D13,WireHole_0p7,
WireHole_1p5,D3,WireHole_1p2,
WireHole_1p5,D21,WireHole_0p7,
WireHole_1p5,D16,WireHole_0p8,
WireHole_1p5,D17,WireHole_0p8,
WireHole_1p5,D11,WireHole_0p7,
WireHole_1p5,D10,WireHole_0p7,
WireHole_1p5,D8,WireHole_0p7,
WireHole_1p5,D25,WireHole_0p7,
WireHole_1p5,D18,WireHole_0p8,
WireHole_1p5,D19,WireHole_1p2,
WireHole_1p5,D9,WireHole_0p7,
WireHole_1p5,D15,WireHole_0p8,
WireHole_1p5,D23,WireHole_0p7,
WireHole_1p5,D31,WireHole_2p0,
