Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,58.42195,-55.90735,-90.0,top
C2,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,58.42195,-59.76815,90.0,top
C3,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,55.8794,-57.277,180.0,top
C4,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.6065,-63.0936,0.0,top
C5,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,75.9245,-63.0936,180.0,top
C6,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4024,-57.0484,90.0,top
C7,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,95.4024,-54.9061,90.0,top
C8,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,80.5521,-60.0456,0.0,top
C9,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,79.4425,-63.1444,180.0,top
C10,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,80.0938,-54.2544,0.0,top
C11,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,85.471,-58.928,0.0,top
C12,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.9943,-59.7916,90.0,top
C13,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,88.4769,-61.9252,0.0,top
C14,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,85.3146,-55.372,90.0,top
C15,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,95.758,-61.468,-90.0,top
C16,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,85.7504,-57.658,0.0,top
C17,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,93.4212,-60.2996,-90.0,top
C18,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,93.1505,-61.8744,0.0,top
C19,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,93.849,-55.7061,-90.0,top
C20,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100.3808,-63.9064,0.0,top
C21,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,92.2234,-54.9235,-90.0,top
D1,WireHole_1p5,WireHole_1p2,55.3212,-60.3504,0.0,top
D2,WireHole_1p5,WireHole_1p2,60.4012,-55.2704,0.0,top
D3,WireHole_1p5,WireHole_1p2,60.4012,-60.3504,0.0,top
D4,1N5711UR,D_MELF,65.4431,-54.9529,180.0,top
D5,MM5Zxx,D_SOD-923,67.9952,-57.2389,180.0,top
D6,WireHole_1p5,WireHole_0p7,93.8276,-51.816,0.0,top
D7,WireHole_1p5,WireHole_0p7,95.3516,-51.816,0.0,top
D8,WireHole_1p5,WireHole_0p7,101.0412,-51.9176,90.0,top
D9,WireHole_1p5,WireHole_0p7,99.5172,-51.9176,90.0,top
D10,WireHole_1p5,WireHole_0p7,97.9932,-51.9176,90.0,top
D11,WireHole_1p5,WireHole_0p7,64.1096,-52.324,-90.0,top
D12,WireHole_1p5,WireHole_0p7,62.5856,-52.324,-90.0,top
D13,WireHole_1p5,WireHole_0p7,61.0616,-52.324,-90.0,top
D14,WireHole_1p5,WireHole_0p7,59.563,-52.3494,-90.0,top
D15,WireHole_1p5,WireHole_0p8,60.5028,-62.7888,0.0,top
D16,WireHole_1p5,WireHole_0p8,58.7248,-62.7888,0.0,top
D17,WireHole_1p5,WireHole_0p8,103.5812,-57.0484,0.0,top
D18,WireHole_1p5,WireHole_0p8,103.5812,-58.674,0.0,top
D19,WireHole_1p5,WireHole_1p2,55.3212,-55.2704,0.0,top
D20,WireHole_1p5,WireHole_0p7,89.7128,-52.0192,180.0,top
D21,WireHole_1p5,WireHole_0p7,91.8972,-63.8556,180.0,top
D22,WireHole_1p5,WireHole_0p7,88.1888,-52.0192,180.0,top
D23,WireHole_1p5,WireHole_0p7,90.3732,-63.8556,180.0,top
D24,WireHole_1p5,WireHole_0p7,86.6648,-52.0192,180.0,top
D25,WireHole_1p5,WireHole_0p7,88.8492,-63.8556,180.0,top
D26,WireHole_1p5,WireHole_0p7,85.1408,-52.0192,180.0,top
D27,WireHole_1p5,WireHole_0p7,87.3252,-63.8556,180.0,top
D28,WireHole_1p5,WireHole_2p0,55.626,-52.324,0.0,top
D29,WireHole_1p5,WireHole_2p0,55.626,-63.246,0.0,top
D30,WireHole_1p5,WireHole_2p0,104.394,-52.578,0.0,top
D31,WireHole_1p5,WireHole_2p0,104.394,-63.246,0.0,top
L1,SWPA8040S220MT,IND_SWPA8040S_SNL,73.6131,-57.4548,180.0,top
L2,SWPA3015S4R7MT,IND_SWPA3015S_SNL,90.8304,-59.5376,180.0,top
L3,SWPA3015S4R7MT,IND_SWPA3015S_SNL,88.138,-54.8132,180.0,top
LED1,HSMW-C191-U0000,LED_91-U0000,102.362,-55.2958,-90.0,top
R1,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,60.4012,-58.166,90.0,top
R2,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,62.4332,-57.2516,0.0,top
R3,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,55.8794,-58.3946,180.0,top
R4,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,65.9124,-57.2389,0.0,top
R5,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,91.3892,-53.1876,180.0,top
R6,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,94.1832,-53.1876,180.0,top
R7,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,83.1209,-53.2384,180.0,top
R8,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,83.1232,-54.3391,0.0,top
R9,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,101.981,-57.2262,-90.0,top
R10,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,79.4004,-62.0268,180.0,top
R11,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,79.0956,-57.6193,90.0,top
R12,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,90.8645,-61.8744,180.0,top
R13,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.726,-62.9412,180.0,top
R14,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,91.1058,-54.9269,90.0,top
R15,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,91.563,-56.8452,180.0,top
R16,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.536,-61.722,90.0,top
U1,SI7489DP-T1-E3,POWERPAK_SO-8_SINGLE_VIS,65.1891,-60.8457,90.0,top
U2,STM32G031G8Ux,QFN-28_4x4mm_P0.5mm,98.7552,-56.5475,270.0,top
U3,LM5160ADNTR,DNT0012B,84.5399,-61.3856,270.0,top
U4,LM5160ADNTR,DNT0012B,82.0126,-57.0676,270.0,top
U5,INA193,SOT-23-5,100.01,-61.3973,90.0,top
