Comment,Designator,Footprint,LCSC
R,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C103607
R,"R14,R17,R18,R19,R6",R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,C105100
INA193,U17,SOT-23-5,C19548
R,R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22795
R,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25586
R,"R15,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25803
R,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
MM5Zxx,D23,D_SOD-523,C2832571
C,"C1,C2,C3,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C3011705
TLV9061IDCKR,U2,DCK5_TEX,C398357
R,R16,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4184
R,R11,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C4197
R,"R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C705059
WireHole_1p5,D27,WireHole_1p2,
WireHole_1p5,D30,WireHole_1p2,
WireHole_1p5,D29,WireHole_1p2,
WireHole_1p5,D28,WireHole_1p2,
WireHole_1p5,D31,WireHole_1p2,
WireHole_1p5,D26,WireHole_1p2,
WireHole_1p5,D25,WireHole_1p2,
R,R12,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
WireHole_1p5,D5,WireHole_1p2,
WireHole_1p5,D9,WireHole_1p2,
WireHole_1p5,D19,WireHole_1p2,
R,R8,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
WireHole_1p5,D20,WireHole_1p2,
WireHole_1p5,D2,WireHole_1p2,
WireHole_1p5,D11,WireHole_1p2,
WireHole_1p5,D1,WireHole_1p2,
WireHole_1p5,D17,WireHole_1p2,
WireHole_1p5,D3,WireHole_1p2,
WireHole_1p5,D14,WireHole_1p2,
R,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
WireHole_1p5,D22,WireHole_1p2,
R,R13,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
WireHole_1p5,D15,WireHole_1p2,
WireHole_1p5,D8,WireHole_1p2,
WireHole_1p5,D13,WireHole_1p2,
R,R7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
WireHole_1p5,D7,WireHole_1p2,
WireHole_1p5,D24,WireHole_1p2,
WireHole_1p5,D6,WireHole_1p2,
WireHole_1p5,D16,WireHole_1p2,
WireHole_1p5,D12,WireHole_1p2,
WireHole_1p5,D21,WireHole_1p2,
WireHole_1p5,D4,WireHole_1p2,
WireHole_1p5,D10,WireHole_1p2,
WireHole_1p5,D18,WireHole_1p2,
WireHole_1p5,D35,WireHole_1p2,
WireHole_1p5,D34,WireHole_1p2,
WireHole_1p5,D33,WireHole_1p2,
WireHole_1p5,D32,WireHole_1p2,
