Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.99435,-108.778,180.0,top
C2,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,158.3317,-86.10365,180.0,top
C3,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.8,-108.8375,-90.0,top
C4,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,93.8,-102.6,-90.0,top
D1,WireHole_1p5,WireHole_1p2,149.9,-106.8476,0.0,top
D2,WireHole_1p5,WireHole_1p2,172.4,-99.5,0.0,top
D3,WireHole_1p5,WireHole_1p2,168.4,-111.5,0.0,top
D4,WireHole_1p5,WireHole_1p2,154.7817,-91.30365,0.0,top
D5,WireHole_1p5,WireHole_1p2,128.8382,-114.6,-90.0,top
D6,WireHole_1p5,WireHole_1p2,168.4,-99.5,0.0,top
D7,WireHole_1p5,WireHole_1p2,172.4,-111.5,0.0,top
D8,WireHole_1p5,WireHole_1p2,134.4178,-112.7731,-90.0,top
D9,WireHole_1p5,WireHole_1p2,161.3317,-87.60365,0.0,top
D10,WireHole_1p5,WireHole_1p2,154.7,-119.25,180.0,top
D11,WireHole_1p5,WireHole_1p2,164.1,-122.25,180.0,top
D12,WireHole_1p5,WireHole_1p2,134.4686,-115.2115,-90.0,top
D13,WireHole_1p5,WireHole_1p2,157.92195,-111.064,0.0,top
D14,WireHole_1p5,WireHole_1p2,156.14395,-113.6548,0.0,top
D15,WireHole_1p5,WireHole_1p2,154.6293,-85.86805,0.0,top
D16,WireHole_1p5,WireHole_1p2,159.0,-106.75,0.0,top
D17,WireHole_1p5,WireHole_1p2,96.4,-111.0,90.0,top
D18,WireHole_1p5,WireHole_1p2,99.0,-111.0,90.0,top
D19,WireHole_1p5,WireHole_1p2,96.5,-115.9,90.0,top
D20,WireHole_1p5,WireHole_1p2,114.816,-101.0,0.0,top
D21,WireHole_1p5,WireHole_1p2,114.816,-104.0,0.0,top
D22,WireHole_1p5,WireHole_1p2,114.8668,-107.0,0.0,top
D23,MM5Zxx,D_SOD-523,156.04235,-111.2672,-90.0,top
D24,WireHole_1p5,WireHole_1p2,99.1,-115.9,90.0,top
D25,WireHole_1p5,WireHole_1p2,121.5,-93.2,0.0,top
D26,WireHole_1p5,WireHole_1p2,143.5,-105.0,0.0,top
D27,WireHole_1p5,WireHole_1p2,91.2,-96.4,0.0,top
D28,WireHole_1p5,WireHole_1p2,91.2,-109.9492,0.0,top
D29,WireHole_1p5,WireHole_1p2,161.1317,-91.30365,0.0,top
D30,WireHole_1p5,WireHole_1p2,154.6293,-88.61125,0.0,top
D31,WireHole_1p5,WireHole_1p2,121.0,-114.7,0.0,top
D32,WireHole_1p5,WireHole_1p2,145.2,-124.75,0.0,top
D33,WireHole_1p5,WireHole_1p2,163.2,-130.75,0.0,top
D34,WireHole_1p5,WireHole_1p2,154.7,-130.75,0.0,top
D35,WireHole_1p5,WireHole_1p2,173.2,-127.25,0.0,top
R1,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.6226,-101.0592,0.0,top
R2,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,147.7,-110.713999,-90.0,top
R3,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,153.24835,-113.35,0.0,top
R4,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.79395,-113.4008,0.0,top
R5,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,156.90595,-108.8288,0.0,top
R6,R,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,150.65,-122.25,180.0,top
R7,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.6226,-102.9388,0.0,top
R8,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107.6226,-104.8184,0.0,top
R9,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.965,-101.0592,0.0,top
R10,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.9142,-102.9896,0.0,top
R11,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,103.9142,-104.8184,0.0,top
R12,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.8618,-113.6875,90.0,top
R13,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.5382,-113.6875,90.0,top
R14,R,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,159.15,-122.25,180.0,top
R15,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.5875,-107.49,180.0,top
R16,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.5875,-110.0,180.0,top
R17,R,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,150.7,-127.25,0.0,top
