Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,141.0462,-122.6312,90.0,top
C2,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.1691,-122.7074,0.0,top
C3,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.6528,-123.6726,-90.0,top
C4,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.032,-124.0028,90.0,top
C5,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.9388,-120.7262,0.0,top
C6,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,128.8542,-121.7335,-90.0,top
C26,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,120.5651,-124.3076,180.0,top
C27,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,126.7714,-121.1205,90.0,top
C28,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.0932,-120.5992,0.0,top
D6,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,120.0154,-122.631,0.0,bottom
D7,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,128.118,-122.5802,0.0,bottom
D8,LED_Cree_XHP50_6V,LED_Cree-XHP50_6V,135.992,-122.5294,0.0,bottom
D23,MM5Zxx,D_SOD-523,139.827,-122.6566,90.0,top
D27,WireHole_1p5,WireHole_1p2,116.3066,-124.5108,0.0,top
D28,WireHole_1p5,WireHole_1p2,116.4336,-120.1166,0.0,top
L1,SWPA4030S1R0NT,IND_SWPA4030S_SNL,131.99545,-122.2554,180.0,top
R1,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,127.7112,-121.0951,90.0,top
R2,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,139.446,-120.5992,0.0,top
R3,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,135.53815,-124.6378,0.0,top
R4,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,134.8994,-122.7582,-90.0,top
R5,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,138.3538,-124.9426,180.0,top
R6,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,117.8052,-122.0724,0.0,top
R7,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,118.6942,-123.698,90.0,top
R9,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120.3065,-123.19,0.0,top
R15,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,127.2407,-124.2314,180.0,top
U1,LM5160ADNTR,DNT0012B,123.8504,-122.428,-90.0,top
U2,TLV9061IDCKR,DCK5_TEX,137.2616,-122.7582,180.0,top
