Comment,Designator,Footprint,LCSC
C,"C11,C28",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C126632
C,"C12,C6",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1523
C,"C10,C4",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1531
R,"R2,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C158894
C,"C26,C7",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C16772
R,"R5,R9",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C22795
R,"R1,R11,R4,R6",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
R,"R10,R3",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25782
R,"R15,R7",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25784
C,"C27,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C268018
C,"C2,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C29266
C,"C3,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C2932476
TLV9061IDCKR,"U2,U4",DCK5_TEX,C398357
LM5160ADNTR,"U1,U3",DNT0012B,C473375
SWPA4030S1R0NT,"L2,L3",IND_SWPA3015S_SNL,C48020
SWPA4030S1R0NT,"L1,L4",IND_SWPA4030S_SNL,C62684
C,"C14,C15",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C85858
C,"C1,C13",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C88945
