Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,137.1854,-120.8278,90.0,top
C2,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.10995,-123.5063,90.0,top
C3,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104.5503,-124.5362,180.0,top
C4,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.921,-125.095,180.0,top
C5,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.8289,-120.9802,0.0,top
C6,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.7366,-125.095,180.0,top
C7,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,108.9152,-120.4976,0.0,top
C8,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,101.3714,-122.0216,-90.0,top
C9,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100.7618,-123.5456,180.0,top
C10,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,98.435,-120.3298,0.0,top
C11,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,93.1672,-124.714,180.0,top
C12,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100.8734,-120.3298,0.0,top
C13,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,90.7796,-124.3751,-90.0,top
C14,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,106.7816,-124.6124,-90.0,top
C15,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.4374,-120.9889,90.0,top
C26,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,119.7015,-124.9934,180.0,top
C27,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.3723,-121.4882,180.0,top
C28,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.8994,-120.523,0.0,top
L1,SWPA4030S1R0NT,IND_SWPA4030S_SNL,130.937,-122.4026,180.0,top
L2,SWPA4030S1R0NT,IND_SWPA3015S_SNL,119.1133,-121.793,180.0,top
L3,SWPA4030S1R0NT,IND_SWPA3015S_SNL,109.347,-123.698,0.0,top
L4,SWPA4030S1R0NT,IND_SWPA4030S_SNL,97.4514,-123.25,0.0,top
R1,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,128.07515,-123.5271,90.0,top
R2,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,136.10155,-124.8866,0.0,top
R3,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.8326,-124.4346,-90.0,top
R4,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.86635,-122.2958,-90.0,top
R5,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,109.2181,-121.412,180.0,top
R6,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,100.3146,-121.9554,-90.0,top
R7,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,96.05,-120.3,0.0,top
R8,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,92.0242,-120.6246,180.0,top
R9,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,119.3781,-124.0028,0.0,top
R10,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,94.4626,-120.9548,90.0,top
R11,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,94.4626,-122.8852,90.0,top
R15,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.2953,-125.095,180.0,top
U1,LM5160ADNTR,DNT0012B,123.838351,-123.5974,270.0,top
U2,TLV9061IDCKR,DCK5_TEX,136.271,-122.809,180.0,top
U3,LM5160ADNTR,DNT0012B,104.5718,-121.9454,90.0,top
U4,TLV9061IDCKR,DCK5_TEX,92.1766,-122.387601,0.0,top
