Comment,Designator,Footprint,LCSC
R,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C126169
C,"C2,C4",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
R,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190
R,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804
R,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25811
TLV9061IDCKR,U2,DCK5_TEX,C398357
VLS3012HBX-3R3M,L1,IND_VLS3012HBX-3R3M_TDK,C404495
C,"C1,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C440198
MMSZ5228B-7-F,CR1,SOD123_DIO,C513125
LMR51420XDDCR,U1,SOT23_DDC_TEX,C5383002
WireHole_1p5,D4,WireHole_1p2,
WireHole_1p5,D1,WireHole_1p2,
WireHole_1p5,D5,WireHole_1p2,
WireHole_1p5,D2,WireHole_1p2,
WireHole_1p5,D3,WireHole_1p2,
