Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.7545,-93.726,0.0,top
C2,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.078,-92.964,-90.0,top
C3,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.8655,-93.726,0.0,top
C4,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.5475,-91.48825,-90.0,top
CR1,MMSZ5228B-7-F,SOD123_DIO,126.492,-91.44,-90.0,top
D1,WireHole_1p5,WireHole_1p2,123.5475,-95.80625,0.0,top
D2,WireHole_1p5,WireHole_1p2,110.744,-95.758,0.0,top
D3,WireHole_1p5,WireHole_1p2,114.554,-87.884,0.0,top
D4,WireHole_1p5,WireHole_1p2,107.95,-87.884,0.0,top
D5,WireHole_1p5,WireHole_1p2,119.888,-87.93225,0.0,top
L1,VLS3012HBX-3R3M,IND_VLS3012HBX-3R3M_TDK,108.8655,-90.932,0.0,top
R1,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118.618,-89.662,180.0,top
R2,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,120.7535,-94.02825,0.0,top
R3,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118.2135,-92.65475,-90.0,top
R4,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,124.206,-93.98,180.0,top
U1,LMR51420XDDCR,SOT23_DDC_TEX,113.07555,-90.743999,-90.0,top
U2,TLV9061IDCKR,DCK5_TEX,120.8043,-91.854251,-90.0,top
