Comment,Designator,Footprint,LCSC
R,R16,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C102923
C,"C12,C7",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C126538
R,"R22,R8",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C138008
SI7489DP-T1-E3,"U4,U5,U7",POWERPAK_SO-8_SINGLE_VIS,C141576
R,R14,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C144782
C,C13,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1523
C,C10,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1592
INA193,U1,SOT-23-5,C19548
R,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C247025
R,"R29,R30,R31",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25087
R,"R12,R17,R21",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
R,R13,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25750
R,"R10,R20",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25774
R,"R2,R3",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25778
R,R18,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25792
R,R11,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C26083
R,R19,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C279702
MM5Zxx,"D14,D5,D6",D_SOD-523,C2891761
C,C9,C_0805_2012Metric,C29277
C,"C11,C14,C8",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C3011705
C,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C361063
HSMW-C191-U0000,LED1,LED_91-U0000,C375573
HSMW-C191-U0000,LED3,LED_91-U0000,C375576
HSMW-C191-U0000,LED2,LED_91-U0000,C375578
BAT54C,D20,SOT-23,C37704
C,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C380314
STM32G031G8Ux,U6,QFN-28_4x4mm_P0.5mm,C432211
LM5164DDA,"U3,U8",HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,C477928
C,"C1,C2,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C6119935
BSS123,Q1,SOT-23,C85107
SWPA4030S1R0NT,L3,IND_VLS252012_TDK,C880695
BLM18KG102SH1D,"R15,R23,R24,R25,R26,R27,R28,R4,R5,R6,R7,R9",RES_0603_1P6XP8_MUR,C883597
SWPA4030S1R0NT,L2,IND_VLS252012_TDK,C88532
WireHole_1p5,D27,WireHole_1p2,
WireHole_1p5,D30,WireHole_1p2,
WireHole_1p5,D29,WireHole_1p2,
WireHole_1p5,D28,WireHole_1p2,
WireHole_1p5,D2,WireHole_1p2,
WireHole_1p5,D7,WireHole_1p2,
WireHole_1p5,D1,WireHole_1p2,
WireHole_1p5,D26,WireHole_1p2,
WireHole_1p5,D4,WireHole_1p2,
WireHole_1p5,D12,WireHole_1p2,
WireHole_1p5,D22,WireHole_1p2,
WireHole_1p5,D24,WireHole_1p2,
WireHole_1p5,D13,WireHole_1p2,
WireHole_1p5,D3,WireHole_1p2,
WireHole_1p5,D21,WireHole_1p2,
WireHole_1p5,D16,WireHole_1p2,
WireHole_1p5,D17,WireHole_1p2,
WireHole_1p5,D11,WireHole_1p2,
WireHole_1p5,D10,WireHole_1p2,
WireHole_1p5,D8,WireHole_1p2,
WireHole_1p5,D25,WireHole_1p2,
WireHole_1p5,D18,WireHole_1p2,
WireHole_1p5,D19,WireHole_1p2,
WireHole_1p5,D9,WireHole_1p2,
WireHole_1p5,D15,WireHole_1p2,
WireHole_1p5,D23,WireHole_1p2,
