Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86.868,-118.2624,0.0,top
C2,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.9609,-118.4,0.0,top
C3,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.8875,-116.7,180.0,top
C4,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.8852,-119.4054,0.0,top
C7,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,78.6734,-116.9,0.0,top
C8,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.244975,-108.740075,180.0,top
C9,C,C_0805_2012Metric,107.994975,-111.040075,-90.0,top
C10,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,132.7404,-109.2962,0.0,top
C11,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,131.6736,-112.2172,90.0,top
C12,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,85.7925,-116.7384,0.0,top
C13,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,137.3124,-120.5992,0.0,top
C14,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,104.65,-114.9,180.0,top
C15,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.15,-115.9,90.0,top
D1,WireHole_1p5,WireHole_1p2,146.7993,-108.4,0.0,top
D2,WireHole_1p5,WireHole_1p2,114.9858,-121.8692,0.0,top
D3,WireHole_1p5,WireHole_1p2,75.05,-120.95,180.0,top
D4,WireHole_1p5,WireHole_1p2,85.45,-121.0,0.0,top
D5,MM5Zxx,D_SOD-523,76.2109,-116.15,0.0,top
D6,MM5Zxx,D_SOD-523,118.1375,-112.95,-90.0,top
D7,WireHole_1p5,WireHole_1p2,128.2192,-108.839,0.0,top
D8,WireHole_1p5,WireHole_1p2,154.94,-116.84,0.0,top
D9,WireHole_1p5,WireHole_1p2,154.94,-114.3,0.0,top
D10,WireHole_1p5,WireHole_1p2,130.9,-121.55,-90.0,top
D11,WireHole_1p5,WireHole_1p2,133.2,-121.5,-90.0,top
D12,WireHole_1p5,WireHole_1p2,82.3,-121.05,0.0,top
D13,WireHole_1p5,WireHole_1p2,142.5702,-121.3612,0.0,top
D14,MM5Zxx,D_SOD-523,82.8125,-116.3,0.0,top
D15,WireHole_1p5,WireHole_1p2,112.3696,-121.8692,0.0,top
D16,WireHole_1p5,WireHole_1p2,110.3122,-121.8692,0.0,top
D17,WireHole_1p5,WireHole_1p2,107.6198,-121.92,0.0,top
D18,WireHole_1p5,WireHole_1p2,154.94,-119.38,0.0,top
D19,WireHole_1p5,WireHole_1p2,122.0216,-121.3612,0.0,top
D20,BAT54C,SOT-23,92.2,-113.8,180.0,top
D21,WireHole_1p5,WireHole_1p2,146.827,-111.0,0.0,top
D22,WireHole_1p5,WireHole_1p2,92.95,-119.85,0.0,top
D23,WireHole_1p5,WireHole_1p2,89.95,-119.9,0.0,top
D24,WireHole_1p5,WireHole_1p2,85.25,-106.6,0.0,top
D25,WireHole_1p5,WireHole_1p2,81.9,-106.65,0.0,top
D26,WireHole_1p5,WireHole_1p2,154.94,-111.76,0.0,top
D27,WireHole_1p5,WireHole_1p2,128.1938,-123.19,0.0,top
D28,WireHole_1p5,WireHole_1p2,151.13,-108.331,0.0,top
D29,WireHole_1p5,WireHole_1p2,151.1554,-111.0234,0.0,top
D30,WireHole_1p5,WireHole_1p2,135.8138,-123.2408,0.0,top
L2,SWPA4030S1R0NT,IND_VLS252012_TDK,104.525775,-111.490075,180.0,top
L3,SWPA4030S1R0NT,IND_VLS252012_TDK,104.9308,-117.9,180.0,top
LED1,HSMW-C191-U0000,LED_91-U0000,146.431,-115.5192,90.0,top
LED2,HSMW-C191-U0000,LED_91-U0000,144.7038,-115.4938,90.0,top
LED3,HSMW-C191-U0000,LED_91-U0000,143.0274,-115.4684,90.0,top
Q1,BSS123,SOT-23,120.8875,-115.95,0.0,top
R1,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,108.7375,-118.65,180.0,top
R2,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,136.6525,-109.665,90.0,top
R3,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,135.3525,-109.665,90.0,top
R4,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,83.0625,-118.05,0.0,top
R5,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,73.9609,-117.1493,90.0,top
R6,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,112.1507,-118.65,0.0,top
R7,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,140.2842,-119.5324,180.0,top
R8,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,118.1375,-116.0375,90.0,top
R9,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,130.9,-118.8,-90.0,top
R10,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,78.6734,-115.9,180.0,top
R11,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,118.1375,-109.7,90.0,top
R12,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,94.244975,-111.702575,-90.0,top
R13,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,109.744975,-108.887575,90.0,top
R14,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,107.494975,-108.290075,180.0,top
R15,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,133.2,-118.8007,-90.0,top
R16,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,90.9441,-107.3912,180.0,top
R17,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.5466,-107.3912,180.0,top
R18,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,113.6,-109.5525,90.0,top
R19,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,113.6,-112.0,90.0,top
R20,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,88.0751,-116.7638,0.0,top
R21,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,137.2749,-119.25,0.0,top
R22,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,94.65,-117.9,-90.0,top
R23,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,150.0886,-116.4082,0.0,top
R24,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,150.1,-114.7429,0.0,top
R25,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,143.2993,-108.4,0.0,top
R26,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,143.0777,-111.0,0.0,top
R27,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,125.1585,-114.95,0.0,top
R28,BLM18KG102SH1D,RES_0603_1P6XP8_MUR,119.1514,-120.142,0.0,top
R29,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.7762,-114.0968,180.0,top
R30,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.7508,-115.2906,180.0,top
R31,R,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.7254,-116.4844,180.0,top
U1,INA193,SOT-23-5,111.4,-115.9,180.0,top
U3,LM5164DDA,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,98.644975,-110.265075,-90.0,top
U4,SI7489DP-T1-E3,POWERPAK_SO-8_SINGLE_VIS,76.4234,-111.65,0.0,top
U5,SI7489DP-T1-E3,POWERPAK_SO-8_SINGLE_VIS,122.8875,-110.7,-90.0,top
U6,STM32G031G8Ux,QFN-28_4x4mm_P0.5mm,135.35,-113.9125,270.0,top
U7,SI7489DP-T1-E3,POWERPAK_SO-8_SINGLE_VIS,85.0625,-111.8,0.0,top
U8,LM5164DDA,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,99.0,-116.745,-90.0,top
