Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,75.3243,-70.3834,0.0,top
C2,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,78.343,-71.3017,90.0,top
C3,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,78.1691,-65.9638,0.0,top
C4,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.2547,-68.0212,0.0,top
C5,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,84.9216,-62.1527,-90.0,top
C6,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,123.0756,-65.0382,180.0,top
C7,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,123.3804,-61.5453,90.0,top
C8,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,82.534,-62.6241,-90.0,top
C9,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.8133,-67.691,0.0,top
C10,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,95.361,-72.1614,180.0,top
C11,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,88.3037,-73.9648,0.0,top
C12,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,84.947,-65.6082,90.0,top
C13,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,96.0976,-67.6656,0.0,top
C14,C,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.9562,-65.1057,-90.0,top
C15,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,125.9458,-61.5076,-90.0,top
C16,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.658,-61.7993,90.0,top
C17,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.4761,-93.1672,0.0,top
C18,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,122.7582,-89.3826,-90.0,top
C19,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.5842,-93.9839,90.0,top
C20,C,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.5362,-93.0656,180.0,top
C21,C,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.1374,-97.5247,-90.0,top
